hhid14_9,edu_level,pidlink
6090004,1,6095101
6090004,2,6095101
6100005,1,6100005
6100005,2,6100005
6100005,3,6100005
6100005,4,6100005
6100001,1,6100006
6100001,2,6100006
6100001,3,6100006
6104100,1,6104102
6104100,2,6104102
6110000,1,6110006
6110000,2,6110006
6110000,1,6110007
6110000,2,6110007
6110000,1,6110008
6110000,2,6110008
6110000,3,6110008
6110000,1,6110009
6110000,2,6110009
6110000,3,6110009
6110000,1,6110010
6110000,2,6110010
6114100,1,6113103
6114100,2,6113103
6114100,3,6113103
6120005,1,6120005
6120005,2,6120005
6120006,1,6120006
6120006,2,6120006
6123100,1,6121104
6123100,1,6123103
6123100,2,6123103
6123100,3,6123103
6120005,1,6125103
6120005,2,6125103
6120005,3,6125103
6120006,1,6125204
6120006,2,6125204
6130000,4,6130005
6130000,,6130005
6130000,,6130005
6130000,,6130005
6140003,1,6140003
6140003,2,6140003
6140003,1,6145102
6140003,2,6145102
6140003,3,6145102
6140003,4,6145102
6160000,1,6160005
6160000,2,6160005
6160000,3,6160005
6170000,3,6170006
6170000,,6170006
6170000,,6170006
6170000,1,6170008
6170000,2,6170008
6170005,1,6175101
6170005,2,6175101
6190000,3,6190005
6190000,,6190005
6190000,,6190005
6190000,1,6190008
6190000,2,6190008
6190000,3,6190008
6193100,1,6193103
6193100,2,6193103
6190004,1,6195101
6190004,2,6195101
6190004,3,6195101
6200003,1,6200003
6200003,2,6200003
6204100,1,6200004
6204100,2,6200004
6204100,3,6200004
6200000,1,6200005
6200000,2,6200005
6200000,3,6200005
6200003,1,6205102
6200003,2,6205102
6200003,3,6205102
7030005,1,7030005
7030005,2,7030005
7030005,3,7030005
7033103,1,7033103
7033103,2,7033103
7040003,1,7040003
7040003,2,7040003
7040003,1,7045102
7040003,2,7045102
7040003,3,7045102
7040003,4,7045102
7050000,1,7050006
7050000,2,7050006
7050000,3,7050006
7064200,2,7060004
7064200,3,7060004
7064200,,7060004
7060005,1,7060005
7060005,2,7060005
7060005,3,7060005
7060006,1,7060006
7060006,2,7060006
7080000,1,7080005
7080000,2,7080005
7080000,3,7080005
7080001,1,7085102
7080001,2,7085102
7080001,3,7085102
7130004,1,7130004
7130004,2,7130004
7130004,3,7130004
7130000,1,7130005
7130000,2,7130005
7130000,3,7130005
7130006,1,7130006
7130006,2,7130006
7130006,3,7130006
7143100,4,7140004
7143100,,7140004
7143100,,7140004
7143100,,7140004
7141100,4,7140005
7141100,,7140005
7141100,,7140005
7141100,,7140005
7143100,1,7143108
7143100,2,7143108
7143100,3,7143108
7150000,1,7150003
7150000,2,7150003
7150005,1,7150005
7150005,2,7150005
7150005,3,7150005
7150005,4,7150005
7150000,1,7150006
7150000,2,7150006
7150000,3,7150006
7163100,1,7160004
7163100,2,7160004
7163100,3,7160004
7164100,3,7160007
7164100,,7160007
7164100,,7160007
7163100,1,7163107
7163100,2,7163107
7160006,1,7165102
7160006,2,7165102
7160006,3,7165102
7180007,2,7180007
7180007,3,7180007
7180007,,7180007
7180003,1,7185102
7180003,2,7185102
7180003,3,7185102
7180004,1,7185203
7180004,2,7185203
7180004,3,7185203
7200000,1,7200003
7120000,1,7202102
7120000,2,7202102
7120000,3,7202102
7224100,1,7220003
7224100,2,7220003
7224100,3,7220003
7224100,4,7220003
7220004,1,7220004
7220004,2,7220004
7220004,3,7220004
7230000,1,7230010
7230000,2,7230010
7230000,3,7230010
7233103,1,7233103
7233103,2,7233103
7233103,3,7233103
7233103,1,7233104
7233103,2,7233104
7230006,1,7235101
7230006,2,7235101
7254100,1,7250008
7254100,2,7250008
7250009,1,7250009
7250009,2,7250009
7254100,1,7254102
7254100,2,7254102
7254100,1,7254103
7254100,2,7254103
7264100,2,7260005
7264100,3,7260005
7264100,,7260005
7280005,1,7280005
7280005,2,7280005
7280005,3,7280005
7280005,1,7285101
7280005,2,7285101
8010005,3,8010005
8010005,,8010005
8010005,,8010005
8010000,1,8010006
8010000,2,8010006
8010000,3,8010006
8010000,4,8010006
8014200,1,8014202
8014200,2,8014202
8014200,3,8014202
8010005,1,8015101
8010005,2,8015101
8010005,3,8015101
8020000,1,8020009
8020000,2,8020009
8020000,3,8020009
8030000,1,8030006
8030000,2,8030006
8030000,1,8030007
8030000,2,8030007
8030000,3,8030007
8033100,1,8033104
8033100,2,8033104
8033100,3,8033104
8040003,1,8040003
8040003,2,8040003
8040003,1,8040007
8043100,1,8043103
8043100,2,8043103
8043100,3,8043103
8044100,1,8044102
8044100,2,8044102
8040003,1,8045103
8050000,1,8050007
8050000,2,8050007
8080000,2,8080006
8080000,3,8080006
8080000,,8080006
8080000,1,8080007
8080000,2,8080007
8080005,1,8085102
8080005,2,8085102
8090007,1,8095102
8090007,2,8095102
8090007,3,8095102
8090008,1,8095201
8100000,1,8100006
8100000,2,8100006
8100000,3,8100006
8100000,4,8100006
8110003,1,8110003
8110003,2,8110003
8110003,3,8110003
8110005,3,8110005
8110005,,8110005
8110005,,8110005
8110000,1,8110007
8110000,2,8110007
8110000,1,8110009
8110000,2,8110009
8110003,1,8115102
8110003,2,8115102
8110003,3,8115102
8110005,1,8115201
8110005,2,8115201
8110005,3,8115201
8120005,1,8120005
8120005,2,8120005
8120004,1,8125102
8120004,2,8125102
8120004,3,8125102
8120005,1,8125201
8120005,2,8125201
8120005,3,8125201
8130000,1,8130005
8130000,2,8130005
8130000,1,8130006
8130000,2,8130006
8130000,3,8130006
8140006,1,8140006
8140006,2,8140006
8140006,1,8145102
8140006,2,8145102
8140006,3,8145102
8150000,3,8150006
8150000,,8150006
8150000,,8150006
