pidlink,age,male,edu_level,rural,smoking,rural_no_migration,urban_no_migration,urban_to_rural_migration,rural_to_urban_migration,rural_to_rural_migration,urban_to_urban_migration,never_smoking,always_smoking,started_smoking
3243205,19,1,,1,1,,,,,,,,,
3243206,17,0,3,1,0,,,,,,,,,
3243207,39,1,,1,1,1,0,0,0,0,0,0,1,0
3244101,39,1,,0,1,,,,,,,0,0,1
3245401,21,1,,1,1,,,,,,,,,
3250001,87,0,,1,0,,,,,,,,,
3250004,46,1,,1,1,1,0,0,0,0,0,0,1,0
3250005,41,0,,1,0,1,0,0,0,0,0,0,0,0
3250007,21,0,3,1,0,,,,,,,,,
3250009,16,0,3,1,0,,,,,,,,,
3260001,59,1,,1,1,1,0,0,0,0,0,0,0,1
3260003,31,1,,1,0,,,,,,,1,0,0
3260004,29,1,,0,1,,,,,,,0,1,0
3260005,26,0,4,1,0,,,,,,,0,0,0
3260006,25,1,3,1,1,,,,,,,0,0,1
3260008,18,0,4,0,0,,,,,,,,,
3260009,51,0,,1,0,,,,,,,,,
3264102,29,0,,1,0,,,,,,,0,0,0
3265102,28,0,3,0,0,,,,,,,,,
3265202,27,1,3,1,1,,,,,,,,,
3270001,56,1,,1,1,,,,,,,,,
3270002,55,0,,1,0,1,0,0,0,0,0,1,0,0
3270003,21,1,3,1,1,,,,,,,,,
3270004,18,1,,1,1,,,,,,,,,
3270006,22,0,3,1,0,,,,,,,,,
3280001,54,1,,1,1,,,,,,,,,
3280002,48,0,,1,0,1,0,0,0,0,0,1,0,0
3280003,27,1,4,1,1,0,0,0,0,1,0,0,0,1
3280005,24,1,3,1,1,,,,,,,,,
3290001,51,1,,1,1,1,0,0,0,0,0,0,1,0
3290002,47,0,,1,1,1,0,0,0,0,0,0,1,0
3290003,27,1,,0,1,,,,,,,0,0,1
3290005,21,1,4,0,1,,,,,,,,,
3290006,17,0,3,1,0,,,,,,,,,
3294106,25,0,3,0,0,,,,,,,,,
3300003,57,0,,1,0,1,0,0,0,0,0,1,0,0
4010002,47,0,4,1,0,1,0,0,0,0,0,0,0,0
4010003,25,1,4,,,,,,,,,,,
4010005,19,1,4,0,1,,,,,,,,,
4020002,46,0,,1,0,1,0,0,0,0,0,1,0,0
4020005,27,1,,1,0,,,,,,,1,0,0
4020007,24,0,3,0,0,,,,,,,1,0,0
4020008,22,0,3,0,0,,,,,,,,,
4020009,21,1,2,1,1,,,,,,,,,
4024104,28,0,3,1,0,,,,,,,,,
4025201,33,1,3,0,1,,,,,,,,,
4030001,62,1,,1,1,,,,,,,0,0,1
4030003,41,0,,1,0,1,0,0,0,0,0,1,0,0
4030008,24,1,3,1,1,0,0,1,0,0,0,0,0,1
4030009,44,1,1,1,1,,,,,,,,,
4030010,20,1,3,1,1,,,,,,,,,
4030011,18,1,3,0,0,,,,,,,,,
4032109,23,0,,,,,,,,,,,,
4035102,51,0,,1,0,,,,,,,,,
4035103,17,1,,1,1,,,,,,,,,
4040002,57,0,,1,0,,,,,,,1,0,0
4040003,33,1,,1,0,0,0,0,0,1,0,1,0,0
4040006,27,0,,,,,,,,,,,,
4040008,21,1,,1,1,,,,,,,,,
4040011,35,0,3,1,0,,,,,,,,,
4045102,29,1,3,1,1,,,,,,,,,
4050001,50,1,,1,1,1,0,0,0,0,0,0,0,1
4050002,45,0,,1,0,1,0,0,0,0,0,0,0,0
4050003,21,0,3,1,0,,,,,,,,,
4050004,19,0,4,0,0,,,,,,,,,
4050005,18,0,,,,,,,,,,,,
4050006,17,1,3,1,0,,,,,,,,,
4055102,28,1,3,1,0,,,,,,,,,
4060001,66,1,,1,1,,,,,,,,,
4060002,64,0,,1,0,1,0,0,0,0,0,1,0,0
4060003,34,1,,1,1,,,,,,,0,0,1
4060004,31,1,3,1,1,,,,,,,,,
4060005,29,1,4,1,1,,,,,,,,,
4060007,69,1,,1,1,,,,,,,,,
4065102,29,0,3,1,0,,,,,,,,,
4065202,36,0,3,1,0,,,,,,,,,
4065302,35,0,4,1,0,,,,,,,,,
4070002,49,0,,1,0,1,0,0,0,0,0,0,0,0
4070005,39,0,,1,0,,,,,,,,,
4070007,34,1,3,1,0,,,,,,,,,
4070008,28,0,,1,0,0,0,0,0,1,0,1,0,0
4070009,27,0,,1,0,,,,,,,1,0,0
4070012,23,0,2,1,0,,,,,,,,,
4073101,52,1,,,,,,,,,,,,
4090003,41,0,,1,0,1,0,0,0,0,0,1,0,0
4090007,41,1,,1,0,1,0,0,0,0,0,1,0,0
4090008,42,0,,1,0,1,0,0,0,0,0,0,0,0
4100001,64,0,,1,0,1,0,0,0,0,0,0,0,0
4100002,43,1,,1,0,1,0,0,0,0,0,1,0,0
4100003,37,0,,1,0,1,0,0,0,0,0,1,0,0
4100004,35,1,,1,1,,,,,,,0,0,1
4100005,33,1,,1,1,,,,,,,0,0,1
4100006,30,1,3,1,1,,,,,,,,,
4100008,28,0,4,1,0,,,,,,,1,0,0
4100009,24,1,3,1,0,0,0,0,0,1,0,1,0,0
4100010,18,0,,0,0,,,,,,,,,
4102101,41,1,3,1,1,,,,,,,,,
4102104,16,0,3,0,0,,,,,,,,,
4103102,41,0,,1,0,1,0,0,0,0,0,1,0,0
4103103,17,1,3,1,0,,,,,,,,,
4103104,15,1,3,1,0,,,,,,,,,
4104102,32,0,,1,0,,,,,,,0,0,0
4104202,31,0,,1,0,,,,,,,0,0,0
4105102,25,0,2,1,0,,,,,,,,,
4105202,37,1,3,1,1,,,,,,,,,
4110003,35,1,3,1,1,,,,,,,,,
4111103,32,0,4,1,0,,,,,,,,,
4130001,76,1,,1,1,1,0,0,0,0,0,0,0,1
4130002,75,0,,1,0,1,0,0,0,0,0,0,0,0
4130003,33,1,,1,1,1,0,0,0,0,0,0,0,1
4130004,31,1,,1,1,,,,,,,0,0,1
4130005,36,0,,0,0,,,,,,,0,0,0
4130006,17,0,2,0,0,,,,,,,,,
4130007,15,1,2,1,0,,,,,,,,,
4132102,32,0,4,1,0,0,0,0,0,1,0,0,0,0
4134101,50,1,,0,1,,,,,,,,,
4140001,61,1,,1,0,,,,,,,,,
4140002,61,0,,1,0,1,0,0,0,0,0,1,0,0
4140004,33,1,,1,1,,,,,,,,,
4140005,30,1,3,1,1,,,,,,,,,
4140006,27,1,3,1,1,,,,,,,,,
4140007,24,0,4,0,0,,,,,,,,,
4140011,23,0,3,1,0,,,,,,,1,0,0
4144102,33,0,,1,0,,,,,,,1,0,0
4150003,46,1,4,1,1,1,0,0,0,0,0,0,0,1
4150004,47,0,4,1,0,1,0,0,0,0,0,0,0,0
4150005,20,0,,,,,,,,,,,,
4150007,16,0,3,0,0,,,,,,,,,
4160001,48,1,,1,1,1,0,0,0,0,0,0,0,1
4160002,50,0,,1,0,1,0,0,0,0,0,0,0,0
4160003,26,1,4,0,0,,,,,,,1,0,0
4160004,25,0,4,0,0,0,0,0,1,0,0,1,0,0
4160005,21,1,4,0,1,,,,,,,,,
4170004,73,1,,0,0,0,0,0,1,0,0,1,0,0
4170005,63,0,,0,0,,,,,,,,,
4170006,40,1,,0,1,,,,,,,,,
4170007,26,0,,0,0,,,,,,,,,
4180001,51,1,,1,1,,,,,,,0,0,1
4190002,59,0,,0,0,,,,,,,1,0,0
4190003,29,1,,0,1,,,,,,,0,0,1
4194102,27,0,3,0,0,,,,,,,,,
4200001,48,1,,1,1,1,0,0,0,0,0,0,1,0
4200002,45,0,,1,0,1,0,0,0,0,0,0,0,0
4200003,22,0,4,0,0,,,,,,,1,0,0
4200004,22,1,4,0,1,,,,,,,,,
4220001,66,1,,1,1,,,,,,,,,
4220003,36,1,3,1,1,,,,,,,,,
4220004,33,0,,1,0,1,0,0,0,0,0,0,0,0
4220006,28,0,,1,1,,,,,,,0,1,0
4225102,35,0,3,1,0,,,,,,,,,
4230001,68,1,,1,1,1,0,0,0,0,0,0,0,1
4230002,69,0,,1,0,1,0,0,0,0,0,0,0,0
4230003,32,0,,0,0,0,0,0,0,0,1,1,0,0
4232102,36,1,,0,0,0,0,0,0,0,1,1,0,0
4240001,64,1,,1,1,1,0,0,0,0,0,0,0,1
4240002,63,0,,1,0,0,0,0,0,1,0,0,0,0
4240004,34,0,,1,0,1,0,0,0,0,0,1,0,0
4240006,28,1,,1,1,0,0,0,0,1,0,0,0,1
4242202,37,1,,1,1,1,0,0,0,0,0,0,0,1
4250001,74,1,,1,0,1,0,0,0,0,0,0,0,0
4250003,40,1,,1,1,1,0,0,0,0,0,0,0,1
4253102,40,0,,1,0,1,0,0,0,0,0,0,0,0
4260002,56,0,,0,0,,,,,,,1,0,0
4260005,35,1,,1,1,,,,,,,0,0,1
4260006,32,1,,1,1,1,0,0,0,0,0,0,0,1
4260008,20,1,3,0,0,,,,,,,,,
4260015,24,0,3,1,0,,,,,,,,,
4264202,32,0,,1,0,,,,,,,0,0,0
4270001,44,1,,1,0,,,,,,,1,0,0
4270004,22,1,,1,0,,,,,,,,,
4270006,18,1,3,1,0,,,,,,,,,
4274103,16,1,2,1,0,,,,,,,,,
4274105,37,0,2,1,0,,,,,,,,,
4280001,80,1,,1,0,,,,,,,,,
4280004,33,0,,1,0,1,0,0,0,0,0,1,0,0
4280007,15,0,3,0,0,,,,,,,,,
4290001,64,1,,1,1,1,0,0,0,0,0,0,0,1
4290002,60,0,,1,0,,,,,,,,,
4290004,32,0,,1,0,1,0,0,0,0,0,0,0,0
4290005,30,1,,1,1,,,,,,,,,
4295102,22,0,4,1,0,,,,,,,,,
4300005,40,0,,1,0,1,0,0,0,0,0,1,0,0
4302201,52,1,,1,0,,,,,,,1,0,0
4302205,15,0,3,1,0,,,,,,,,,
5010002,87,0,,0,0,,,,,,,,,
5010003,48,1,,0,1,0,1,0,0,0,0,0,1,0
5010004,57,0,,0,0,,,,,,,,,
5010005,54,1,,0,1,,,,,,,,,
5013102,41,0,,0,0,0,1,0,0,0,0,0,0,0
5030001,51,0,,0,0,0,1,0,0,0,0,1,0,0
5030002,29,0,,1,0,,,,,,,1,0,0
5030003,17,1,3,0,0,,,,,,,,,
5030006,15,0,3,0,0,,,,,,,,,
5034101,34,1,2,1,1,,,,,,,,,
5040004,32,1,,0,1,,,,,,,0,1,0
5040005,30,1,3,0,1,,,,,,,,,
5043103,36,0,3,0,0,,,,,,,,,
5044107,23,0,,0,0,,,,,,,,,
5044202,28,0,,0,0,,,,,,,0,0,0
5050001,57,1,,1,1,,,,,,,,,
5050002,56,0,,1,0,,,,,,,,,
5050003,16,1,3,1,0,,,,,,,,,
5060001,56,1,,0,1,0,1,0,0,0,0,0,0,1
5060002,49,0,,0,0,0,1,0,0,0,0,0,0,0
5060003,33,1,,0,1,,,,,,,0,0,1
5060004,29,0,,0,0,,,,,,,0,0,0
5060007,16,1,2,0,0,,,,,,,,,
5064101,36,1,,0,1,,,,,,,0,0,1
5065102,24,0,2,0,0,,,,,,,,,
5070001,65,1,,0,1,0,1,0,0,0,0,0,1,0
5070002,59,0,,0,0,0,1,0,0,0,0,0,0,0
5080002,63,1,,0,1,0,1,0,0,0,0,0,0,1
5080003,59,0,,0,0,0,1,0,0,0,0,0,0,0
5090001,70,1,,1,0,1,0,0,0,0,0,0,0,0
5090002,64,0,,1,0,1,0,0,0,0,0,1,0,0
5090005,40,1,,1,1,,,,,,,0,0,1
5090010,22,0,3,1,0,,,,,,,,,
5090011,17,1,,,,,,,,,,,,
5090015,16,0,3,1,0,,,,,,,,,
5094101,27,1,,1,1,,,,,,,0,0,1
5095102,31,0,2,1,0,,,,,,,,,
5095201,26,1,4,1,1,,,,,,,,,
5100001,48,1,,0,1,0,1,0,0,0,0,0,1,0
5100002,52,0,,0,0,0,1,0,0,0,0,0,0,0
5100003,27,0,1,,,,,,,,,,,
5100005,21,1,1,0,1,,,,,,,,,
5104101,27,1,1,0,1,,,,,,,0,0,1
5110003,48,1,2,1,1,,,,,,,,,
5110004,59,1,,0,0,,,,,,,,,
5110005,54,0,,0,0,0,1,0,0,0,0,0,0,0
5110006,26,0,3,0,0,,,,,,,,,
5110008,32,1,3,0,1,,,,,,,,,
5111102,44,0,1,1,0,,,,,,,,,
5111104,16,0,3,1,0,,,,,,,,,
5130002,44,0,,1,0,,,,,,,1,0,0
5130003,24,1,2,1,1,,,,,,,,,
5130005,78,0,,0,1,0,1,0,0,0,0,0,0,1
5130006,31,1,,0,1,,,,,,,0,1,0
5130008,19,1,3,1,1,,,,,,,,,
5130012,19,0,4,0,0,,,,,,,,,
5130013,22,1,,,,,,,,,,,,
5131203,35,0,,0,0,0,1,0,0,0,0,0,0,0
5134101,52,1,,1,1,,,,,,,0,0,1
5135102,19,0,3,1,0,,,,,,,,,
5140001,68,1,,0,1,0,1,0,0,0,0,0,0,1
5140002,63,0,,0,0,0,1,0,0,0,0,0,0,0
5140003,40,0,,0,0,0,1,0,0,0,0,0,0,0
5140005,32,0,,0,0,,,,,,,0,0,0
5140006,30,0,,0,0,,,,,,,0,0,0
5140007,28,1,,0,1,,,,,,,0,0,1
5143101,39,1,,0,1,,,,,,,,,
5144101,32,1,,0,1,,,,,,,0,0,1
5144201,32,1,,0,1,,,,,,,0,0,1
5145103,28,0,3,0,0,,,,,,,,,
5150001,45,1,,0,1,0,1,0,0,0,0,0,0,1
5150002,44,0,,0,0,0,1,0,0,0,0,0,0,0
5150003,17,1,3,0,0,,,,,,,,,
5160001,54,1,,1,1,1,0,0,0,0,0,0,0,1
5160002,51,0,,1,0,1,0,0,0,0,0,0,0,0
5160003,32,0,,0,0,,,,,,,1,0,0
5160004,30,0,,1,0,,,,,,,1,0,0
5160005,29,1,,1,1,,,,,,,,,
